x,y,z
0.0384003 , 15.3106 , 3.59145
0.101895 , 10.8882 , -0.148833
0.04026 , 15.6504 , 4.2524
0.256996 , 1.4409 , -0.363092
0.085548 , 13.2556 , 0.275916
0.254253 , 1.66628 , -0.359877
0.064213 , 15.1842 , 0.843369
0.249889 , 1.99115 , -0.360361
0.0658509 , 15.3718 , 1.39427
0.243865 , 2.47185 , -0.362865
0.072441 , 15.4024 , 1.94229
0.23488 , 3.19483 , -0.36152
0.0799253 , 15.3679 , 2.48686
0.217844 , 4.50169 , -0.360555
0.0842686 , 15.3672 , 3.04168
0.180752 , 7.45053 , -0.353442
0.0918237 , 15.327 , 3.5949
0.139826 , 10.9068 , -0.149248
0.0958524 , 15.5836 , 4.23407
0.262111 , 1.44676 , -0.364656
0.13412 , 13.0642 , 0.272286
0.260315 , 1.65856 , -0.358101
0.117999 , 15.1269 , 0.840133
0.257085 , 1.98338 , -0.358862
0.119383 , 15.4004 , 1.39657
0.252844 , 2.45418 , -0.360089
0.126609 , 15.3792 , 1.93919
0.246126 , 3.20092 , -0.362281
0.133579 , 15.3844 , 2.48921
0.233713 , 4.50187 , -0.360602
0.138079 , 15.3678 , 3.04152
0.20678 , 7.46481 , -0.354242
0.145351 , 15.3432 , 3.59835
0.178057 , 10.9072 , -0.149361
0.152699 , 15.3099 , 4.1602
0.267333 , 1.44488 , -0.364156
0.181164 , 12.8967 , 0.269097
0.266276 , 1.65666 , -0.35767
0.170857 , 15.1414 , 0.840718
0.264132 , 1.98738 , -0.359643
0.173242 , 15.4088 , 1.39711
0.261625 , 2.44635 , -0.358869
0.18033 , 15.3995 , 1.94148
0.25758 , 3.18315 , -0.360134
0.187298 , 15.4085 , 2.49282
0.249461 , 4.51993 , -0.362206
0.191756 , 15.3918 , 3.04596
0.233142 , 7.44105 , -0.353082
0.198999 , 15.3572 , 3.60135
0.216243 , 10.9155 , -0.149609
0.206472 , 15.2755 , 4.1507
0.272483 , 1.45457 , -0.366752
0.226917 , 12.759 , 0.266456
0.272214 , 1.6567 , -0.357688
0.223687 , 15.1916 , 0.843212
0.271234 , 1.98545 , -0.359284
0.227145 , 15.423 , 1.39818
0.270272 , 2.45825 , -0.360763
0.234207 , 15.4117 , 1.94279
0.268854 , 3.18122 , -0.359925
0.241228 , 15.4147 , 2.49361
0.265354 , 4.53197 , -0.36329
0.245631 , 15.398 , 3.04695
0.25933 , 7.42119 , -0.352127
0.252779 , 15.3555 , 3.60074
0.254588 , 10.8776 , -0.149087
0.259647 , 15.5152 , 4.2149
0.277732 , 1.44492 , -0.364187
0.271748 , 12.5531 , 0.262583
0.278151 , 1.65866 , -0.358154
0.276861 , 15.2357 , 0.845387
0.278331 , 1.97369 , -0.357024
0.28114 , 15.451 , 1.40048
0.279007 , 2.46222 , -0.361412
0.288173 , 15.4336 , 1.94533
0.280114 , 3.17528 , -0.359232
0.295233 , 15.4464 , 2.49847
0.281329 , 4.52601 , -0.362819
0.299587 , 15.4294 , 3.05291
0.285378 , 7.40523 , -0.351378
0.306581 , 15.3789 , 3.60599
0.292751 , 10.9076 , -0.149703
0.282903 , 1.42946 , -0.360072
0.315423 , 12.4451 , 0.260493
0.284114 , 1.66645 , -0.359966
0.330258 , 15.2536 , 0.846182
0.285376 , 1.97368 , -0.357045
0.335238 , 15.451 , 1.40032
0.28774 , 2.45628 , -0.360504
0.3499 , 17.3569 , 2.18267
0.291388 , 3.18519 , -0.360477
0.349616 , 15.5134 , 2.509
0.297151 , 4.49011 , -0.359754
0.353617 , 15.4332 , 3.05352
0.311301 , 7.38519 , -0.350423
0.360544 , 15.4002 , 3.61079
0.331057 , 10.9255 , -0.150119
0.288079 , 1.43524 , -0.361636
0.357808 , 12.2529 , 0.256881
0.290075 , 1.66447 , -0.359535
0.383651 , 15.2513 , 0.845916
0.292492 , 1.98542 , -0.359348
0.389447 , 15.4666 , 1.40156
0.296443 , 2.45228 , -0.359907
0.410504 , 17.3367 , 2.18003
0.302622 , 3.17917 , -0.359784
0.404036 , 15.5269 , 2.51103
0.313065 , 4.50197 , -0.360839
0.407721 , 15.4407 , 3.05489
0.33713 , 7.37105 , -0.349777
0.414784 , 15.4369 , 3.61921
0.369726 , 10.9713 , -0.151006
0.293312 , 1.44292 , -0.363717
0.399165 , 12.0926 , 0.253854
0.295843 , 1.64299 , -0.354619
0.402286 , 12.0655 , 0.676686
0.299596 , 1.98733 , -0.359749
0.444213 , 15.5259 , 1.40667
0.3051 , 2.44628 , -0.358998
0.471011 , 17.3203 , 2.17789
0.313934 , 3.18502 , -0.360545
0.455832 , 15.5403 , 2.51308
0.328978 , 4.50581 , -0.361233
0.462155 , 15.4716 , 3.06085
0.363544 , 7.41874 , -0.352335
0.468599 , 15.4169 , 3.61453
0.406236 , 10.9689 , -0.151081
0.298599 , 1.45059 , -0.365798
0.437058 , 11.9122 , 0.250473
0.301512 , 1.64877 , -0.355981
0.442817 , 11.9372 , 0.669776
0.306663 , 1.98528 , -0.35939
0.498292 , 15.5054 , 1.40475
0.313438 , 2.4521 , -0.359958
0.528133 , 17.2878 , 2.1738
0.32459 , 3.18092 , -0.360092
0.510155 , 15.5336 , 2.51197
0.345085 , 4.52155 , -0.362664
0.513722 , 15.4788 , 3.06223
0.388555 , 7.43639 , -0.353339
0.520208 , 15.4376 , 3.61934
0.444265 , 10.9404 , -0.150726
0.303316 , 1.43506 , -0.361682
0.476806 , 11.7916 , 0.248176
0.307453 , 1.65063 , -0.356448
0.480127 , 11.7929 , 0.662028
0.313105 , 1.96751 , -0.355987
0.550176 , 15.5225 , 1.40617
0.322318 , 2.46184 , -0.361542
0.335883 , 3.18272 , -0.360368
0.562074 , 15.5466 , 2.51402
0.360297 , 4.52529 , -0.363055
0.568575 , 15.5133 , 3.06896
0.414957 , 7.45194 , -0.354245
0.574626 , 15.4562 , 3.62369
0.481231 , 10.9698 , -0.151339
0.308518 , 1.4369 , -0.362214
0.514541 , 11.7149 , 0.246684
0.313376 , 1.66611 , -0.360054
0.520109 , 11.7262 , 0.658408
0.320362 , 1.97916 , -0.35829
0.604257 , 15.5095 , 1.40496
0.330589 , 2.45971 , -0.361255
0.653918 , 17.6549 , 2.21902
0.346584 , 3.18252 , -0.3604
0.616662 , 15.5535 , 2.51511
0.375915 , 4.50904 , -0.361719
0.620348 , 15.5201 , 3.07034
0.439814 , 7.45145 , -0.354319
0.626511 , 15.4766 , 3.6285
0.519681 , 10.969 , -0.151455
0.313559 , 1.44259 , -0.363778
0.555773 , 11.722 , 0.246705
0.31908 , 1.65429 , -0.35738
0.561629 , 11.7433 , 0.659238
0.327119 , 1.98097 , -0.358691
0.656372 , 15.5303 , 1.40673
0.339004 , 2.44569 , -0.3591
0.712877 , 17.5384 , 2.20462
0.358039 , 3.1902 , -0.361404
0.671217 , 15.5562 , 2.51557
0.390965 , 4.5067 , -0.361591
0.674689 , 15.5189 , 3.07017
0.465532 , 7.43287 , -0.353467
0.681355 , 15.5007 , 3.6342
0.558379 , 10.9781 , -0.151738
0.3187 , 1.44053 , -0.363277
0.597279 , 11.737 , 0.246871
0.324753 , 1.6444 , -0.355154
0.603206 , 11.7582 , 0.659962
0.334292 , 1.98472 , -0.359473
